 0.1000E+03 0.2154E+03 0.4642E+03 0.1000E+04 0.2154E+04 0.4642E+04 
 0.1000E-03 0.9074E-04 0.9073E-04 0.9074E-04 0.9074E-04 0.9073E-04 0.9073E-04 
 0.1585E-03 0.1438E-03 0.1438E-03 0.1438E-03 0.1438E-03 0.1438E-03 0.1438E-03 
 0.2512E-03 0.2279E-03 0.2279E-03 0.2279E-03 0.2279E-03 0.2278E-03 0.2278E-03 
 0.3981E-03 0.3610E-03 0.3610E-03 0.3610E-03 0.3610E-03 0.3610E-03 0.3608E-03 
 0.6310E-03 0.5720E-03 0.5720E-03 0.5720E-03 0.5719E-03 0.5719E-03 0.5668E-03 
 0.1000E-02 0.9059E-03 0.9059E-03 0.9059E-03 0.9058E-03 0.9044E-03 0.8761E-03 
 0.1585E-02 0.1434E-02 0.1434E-02 0.1434E-02 0.1434E-02 0.1412E-02 0.1343E-02 
 0.2512E-02 0.2270E-02 0.2270E-02 0.2269E-02 0.2260E-02 0.2172E-02 0.2060E-02 
 0.3981E-02 0.3588E-02 0.3588E-02 0.3586E-02 0.3503E-02 0.3324E-02 0.3172E-02 
 0.6310E-02 0.5664E-02 0.5663E-02 0.5613E-02 0.5363E-02 0.5093E-02 0.4904E-02 
 0.1000E-01 0.8919E-02 0.8905E-02 0.8627E-02 0.8178E-02 0.7828E-02 0.7599E-02 
 0.1585E-01 0.1399E-01 0.1378E-01 0.1311E-01 0.1248E-01 0.1205E-01 0.1177E-01 
 0.2512E-01 0.2173E-01 0.2089E-01 0.1982E-01 0.1903E-01 0.1852E-01 0.1814E-01 
 0.3981E-01 0.3292E-01 0.3125E-01 0.2984E-01 0.2891E-01 0.2828E-01 0.2771E-01 
 0.6310E-01 0.4857E-01 0.4617E-01 0.4451E-01 0.4343E-01 0.4259E-01 0.4164E-01 
 0.1000E+00 0.6981E-01 0.6693E-01 0.6510E-01 0.6383E-01 0.6261E-01 0.6089E-01 
 0.1585E+00 0.9670E-01 0.9370E-01 0.9179E-01 0.9027E-01 0.8837E-01 0.8520E-01 
 0.2512E+00 0.1257E+00 0.1230E+00 0.1213E+00 0.1195E+00 0.1166E+00 0.1111E+00 
 0.3981E+00 0.1454E+00 0.1441E+00 0.1432E+00 0.1415E+00 0.1375E+00 0.1295E+00 
 0.6310E+00 0.1390E+00 0.1406E+00 0.1419E+00 0.1417E+00 0.1386E+00 0.1306E+00 
 0.9800E+00 0.1349E+00 0.1402E+00 0.1447E+00 0.1473E+00 0.1462E+00 0.1395E+00 
 0.1000E+05 0.2154E+05 0.4642E+05 0.1000E+06 0.2154E+06 0.4642E+06 
 0.1000E-03 0.9072E-04 0.9058E-04 0.8775E-04 0.8316E-04 0.7959E-04 0.7725E-04 
 0.1585E-03 0.1438E-03 0.1416E-03 0.1346E-03 0.1281E-03 0.1237E-03 0.1207E-03 
 0.2512E-03 0.2269E-03 0.2181E-03 0.2068E-03 0.1985E-03 0.1931E-03 0.1890E-03 
 0.3981E-03 0.3525E-03 0.3344E-03 0.3191E-03 0.3089E-03 0.3019E-03 0.2956E-03 
 0.6310E-03 0.5415E-03 0.5142E-03 0.4951E-03 0.4824E-03 0.4724E-03 0.4612E-03 
 0.1000E-02 0.8304E-03 0.7947E-03 0.7713E-03 0.7545E-03 0.7382E-03 0.7160E-03 
 0.1585E-02 0.1278E-02 0.1234E-02 0.1205E-02 0.1180E-02 0.1150E-02 0.1103E-02 
 0.2512E-02 0.1977E-02 0.1923E-02 0.1883E-02 0.1840E-02 0.1780E-02 0.1679E-02 
 0.3981E-02 0.3071E-02 0.3001E-02 0.2939E-02 0.2858E-02 0.2728E-02 0.2513E-02 
 0.6310E-02 0.4779E-02 0.4681E-02 0.4570E-02 0.4403E-02 0.4124E-02 0.3678E-02 
 0.1000E-01 0.7435E-02 0.7276E-02 0.7059E-02 0.6701E-02 0.6113E-02 0.5239E-02 
 0.1585E-01 0.1153E-01 0.1124E-01 0.1078E-01 0.1002E-01 0.8832E-02 0.7233E-02 
